pre_root_id,post_root_id,activity
720575940614190709,720575940624404872,0.99916625
720575940614190709,720575940611878258,0.043723464
720575940614190709,720575940632706970,0.08763635
720575940614190709,720575940636592270,0.9573283
720575940614190709,720575940640177280,0.826758
720575940614190709,720575940632556831,0.36278224
720575940614190709,720575940642335373,0.1540308
720575940614190709,720575940643793431,0.99531806
720575940614190709,720575940633320628,0.4938389
720575940614190709,720575940611405425,0.109930634
720575940614190709,720575940639264590,0.6723952
720575940614190709,720575940645126020,0.38804078
720575940614190709,720575940635210859,0.8162271
720575940614190709,720575940626217744,0.083239794
720575940614190709,720575940623626288,0.15353584
720575940614190709,720575940610956334,0.9980693
720575940614190709,720575940621082623,0.70555353
720575940614190709,720575940638642547,0.4973184
720575940614190709,720575940623626288,0.14475393
720575940614190709,720575940631412778,0.52625597
720575940614190709,720575940620627803,0.17224896
720575940614190709,720575940618586862,0.39940083
720575940614190709,720575940632000104,0.8283733
720575940614190709,720575940605158572,0.64194214
720575940614190709,720575940614635175,0.6322912
720575940614190709,720575940627947772,0.093818784
720575940614190709,720575940618098459,0.42069006
720575940619696133,720575940608090069,0.583073
720575940619696133,720575940626622339,0.36932874
720575940619696133,720575940627444490,0.6330017
720575940619696133,720575940608664184,0.0943948
720575940619696133,720575940632556831,0.724401
720575940619696133,720575940608090069,0.2803476
720575940619696133,720575940614635175,0.3249855
720575940619696133,720575940632706970,0.592142
720575940619696133,720575940618388463,1.2968512
720575940619696133,720575940641632653,0.46560752
720575940619696133,720575940626622339,0.43837917
720575940619696133,720575940618388463,1.2805969
720575940619696133,720575940638237662,0.49069095
720575940619696133,720575940610916465,0.3431213
720575940619696133,720575940634407566,0.054460406
720575940619696133,720575940628524150,0.2568215
720575940619696133,720575940644745120,0.75925326
720575940619696133,720575940628471811,0.38759422
720575940619696133,720575940635210859,0.9405471
720575940619696133,720575940632556831,0.07657266
720575940619696133,720575940617597268,0.34110558
720575940619696133,720575940635507380,0.23541439
720575940619696133,720575940634462304,0.17032647
720575940619696133,720575940605158572,0.9477639
720575940619696133,720575940610916465,0.1466682
720575940619696133,720575940614635175,0.5838816
720575940619696133,720575940642335373,0.039029837
720575940619696133,720575940620553094,0.1956569
720575940619696133,720575940614128691,0.94145584
720575940619696133,720575940623207885,0.6193404
720575940619696133,720575940647033396,0.012412071
720575940619696133,720575940620181825,0.58611834
720575940619696133,720575940634186906,0.56852245
720575940619696133,720575940641632653,0.36552262
720575940619696133,720575940634788247,0.476362
720575940619696133,720575940642335373,0.5344151
720575940619696133,720575940622949820,0.15884268
720575940619696133,720575940633644183,0.90210533
720575940619696133,720575940612692633,0.3807391
720575940619696133,720575940604891360,0.89544415
